,Project,Month Year,Minutes Saved,Business Case,Total Time Saved (hrs),Tracking Cadence,Tracking Cadence-1,Event Count,Effort,Manual Time (mins),Dev Cost (mins)
386,LDAP lookup module,2/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
387,SFDC Account Terminations,1/1/2020,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
388,Email Alias Termination,10/1/2021,1200.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
389,Email Alias Termination,11/1/2021,1632.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
390,sn_tableau_ldap,5/1/2020,0.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,0.0,sn_tableau_ldap,7.0,0
391,Tableau API Token Refresher,9/1/2021,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
392,RingCentral User Termination,4/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
393,Autolist KB Daily Update,8/1/2020,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
394,IT Manager Check,5/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
395,DBA - Redshift Account Deployment,12/1/2021,667.5,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,89.0,DBA - Redshift Account Deployment,7.5,0
396,ALGE,11/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
397,Humanity Schedule Bot,4/1/2020,5.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,2.0,Humanity Schedule Bot,2.5,1440
398,Tableau API Token Refresher,5/1/2021,35.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,5.0,Tableau API Token Refresher,7.0,3240
399,ggroupMembership,12/1/2021,88.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
400,Google Alias,11/1/2020,0.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
401,Windows AD Account Mgmt,4/1/2020,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
402,Google Group Management,10/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
403,IT Manager Check,3/1/2021,20.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,4.0,IT Manager Check,5.0,0
404,DBA - Redshift Account Deployment,8/1/2021,690.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,92.0,DBA - Redshift Account Deployment,7.5,0
405,Windows AD Account Mgmt,7/1/2021,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
406,LDAP Service Group,7/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
407,IT Hire Check,6/1/2020,0.0,Emails IT S&E content to new IT hires,64.5,,Daily,0.0,IT Hire Check,5.0,0
408,RingCentral User Deployment,10/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
409,Google Calendar Creation,9/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
410,sn_tableau_ldap,7/1/2020,0.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,0.0,sn_tableau_ldap,7.0,0
411,RingCentral User Deployment,12/1/2021,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
412,LDAP POSIX Group,8/1/2020,1860.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,155.0,LDAP POSIX Group,12.0,
413,global_wifi,2/1/2020,210.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,21.0,global_wifi,10.0,0
414,Mail Alias,7/1/2020,680.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,85.0,Mail Alias,8.0,
415,Bulk Email Alias Deletions,9/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
416,Bulk Email Alias Deletions,11/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
417,Bulk Email Alias Deletions,12/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
418,DBA - Redshift Account Deployment,2/1/2021,435.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,58.0,DBA - Redshift Account Deployment,7.5,0
419,sn_tableau_ldap,2/1/2021,3899.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,557.0,sn_tableau_ldap,7.0,0
420,GWS' Weekly Email Reminders,2/1/2020,68.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
421,NGDC Service Catalog Item,1/1/2021,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
422,MPaaS+ General Support Request,6/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
423,Google Calendar Creation,10/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
424,Google Calendar Creation,5/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
425,Bulk Email Alias Deletions,11/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
426,DBA - Redshift Account Deployment,6/1/2021,855.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,114.0,DBA - Redshift Account Deployment,7.5,0
427,GSS Salesforce Account Create,9/1/2020,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
428,RingCentral User Termination,9/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
429,Google Group Management,9/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
430,Support Chat Notification Bot,3/1/2020,170.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,341.0,Support Chat Notification Bot,0.5,0
431,IT Hire Check,5/1/2021,205.0,Emails IT S&E content to new IT hires,64.5,,Daily,41.0,IT Hire Check,5.0,0
432,Tableau ServiceGroups,7/1/2021,688.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,86.0,Tableau ServiceGroups,8.0,0
433,NGDC Service Catalog Item,12/1/2021,80.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
434,ggroupMembership,2/1/2021,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
435,LDAP Service Group,4/1/2021,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
436,Google Calendar Creation,8/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
437,Google Team Drive,2/1/2021,525.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,35.0,Google Team Drive,15.0,0
438,Google Group Management,2/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
439,SFDC Account Terminations,9/1/2020,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
440,Tableau ServiceGroups,9/1/2020,392.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,49.0,Tableau ServiceGroups,8.0,0
441,LDAP-Rover Syncs,1/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
442,Google Alias,12/1/2020,0.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
443,RHEL 8 Deployment,1/1/2020,810.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
444,MPaaS+ General Support Request,5/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
445,Bulk Email Alias Deletions,5/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
446,Google Team Drive,2/1/2020,435.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,29.0,Google Team Drive,15.0,0
447,Tableau API Token Refresher,12/1/2021,217.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,31.0,Tableau API Token Refresher,7.0,3240
448,RingCentral User Deployment,7/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
449,Support Chat Notification Bot,4/1/2021,146.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,292.0,Support Chat Notification Bot,0.5,0
450,IT Manager Check,7/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
451,LDAP-Rover Syncs,9/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
452,Autolist KB Daily Update,4/1/2020,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
453,Bulk Email Alias Deletions,2/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
454,Humanity Schedule Bot,11/1/2020,0.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,0.0,Humanity Schedule Bot,2.5,1440
455,LDAP-Rover Syncs,10/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
456,MPaaS+ Migration Support,2/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
457,NHO Prep Tasks,4/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
458,GWS' Weekly Email Reminders,3/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
459,LDAP Service Group,7/1/2021,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
460,GSS Salesforce Account Create,9/1/2021,125.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,5.0,GSS Salesforce Account Create,25.0,0
461,Bulk Email Alias Deletions,4/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
462,ALGE,1/1/2021,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
463,MPaaS+ General Support Request,7/1/2021,56.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
464,global_wifi,8/1/2020,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
465,Google Team Drive,8/1/2021,405.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,27.0,Google Team Drive,15.0,0
466,global_wifi,8/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
467,MPaaS+ General Support Request,12/1/2021,384.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
468,Email Alias Termination,3/1/2020,856.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
469,Mail Alias,10/1/2021,1136.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,142.0,Mail Alias,8.0,
470,Tableau API Token Refresher,2/1/2021,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
471,Google Group Management,4/1/2020,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
472,NGDC Service Catalog Item,3/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
473,MPaaS+ Migration Support,6/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
474,NGDC Service Catalog Item,6/1/2021,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
475,RHEL 8 Deployment,8/1/2020,270.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
476,Tableau LDAP,10/1/2020,5000.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,625.0,Tableau LDAP,8.0,0
477,Autolist KB Daily Update,7/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
478,MPaaS+ Migration Support,3/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
479,SFDC Account Terminations,1/1/2021,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
480,Pushmail Ticket Deflection,9/1/2020,63.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,9.0,Pushmail Ticket Deflection,7.0,0
481,ServiceNow Lookup module,10/1/2021,0.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
482,NGDC Service Catalog Item,2/1/2021,60.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
483,Windows AD Account Mgmt,3/1/2021,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
484,Pushmail Ticket Deflection,6/1/2021,399.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,57.0,Pushmail Ticket Deflection,7.0,0
485,Autolist KB Daily Update,9/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
486,ALGE,11/1/2021,150.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,5.0,ALGE,30.0,
487,Tableau ServiceGroups,8/1/2021,992.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,124.0,Tableau ServiceGroups,8.0,0
488,GWS' Weekly Email Reminders,4/1/2020,76.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
489,Tableau ServiceGroups,8/1/2020,744.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,93.0,Tableau ServiceGroups,8.0,0
490,Humanity Schedule Bot,9/1/2021,100.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,40.0,Humanity Schedule Bot,2.5,1440
491,LDAP Service Group,2/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
492,NHO Prep Tasks,7/1/2021,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
493,Pushmail Ticket Deflection,11/1/2020,56.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,8.0,Pushmail Ticket Deflection,7.0,0
494,Windows AD Account Mgmt,2/1/2020,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
495,RHEL 8 Deployment,11/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
496,IT Hire Check,8/1/2021,475.0,Emails IT S&E content to new IT hires,64.5,,Daily,95.0,IT Hire Check,5.0,0
497,GWS' Weekly Email Reminders,7/1/2020,84.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
498,SFDC Account Terminations,4/1/2020,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
499,MPaaS+ General Support Request,9/1/2021,232.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
500,Mail Alias,3/1/2021,1088.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,136.0,Mail Alias,8.0,
501,Email Alias Termination,6/1/2020,1884.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
502,DBA - Redshift Account Deployment,10/1/2021,750.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,100.0,DBA - Redshift Account Deployment,7.5,0
503,GSS Salesforce Account Create,4/1/2021,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
504,DBA - Redshift Account Deployment,6/1/2020,0.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,0.0,DBA - Redshift Account Deployment,7.5,0
505,Pushmail Ticket Deflection,12/1/2020,91.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,13.0,Pushmail Ticket Deflection,7.0,0
506,Support Chat Notification Bot,7/1/2021,194.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,388.0,Support Chat Notification Bot,0.5,0
507,LDAP lookup module,8/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
508,MPaaS+ General Support Request,3/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
509,RingCentral User Deployment,9/1/2021,15.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,3.0,RingCentral User Deployment,5.0,6660
510,LDAP lookup module,12/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
511,Google Team Drive,10/1/2020,180.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,12.0,Google Team Drive,15.0,0
512,sn_tableau_ldap,9/1/2021,7406.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,1058.0,sn_tableau_ldap,7.0,0
513,Pushmail Ticket Deflection,11/1/2021,56.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,8.0,Pushmail Ticket Deflection,7.0,0
514,sn_tableau_ldap,1/1/2020,0.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,0.0,sn_tableau_ldap,7.0,0
515,RingCentral User Termination,3/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
516,GSS Salesforce Account Create,6/1/2021,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
517,RHEL 8 Deployment,8/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
518,GWS' Weekly Email Reminders,6/1/2020,68.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
519,ALGE,5/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
520,LDAP POSIX Group,5/1/2021,3336.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,278.0,LDAP POSIX Group,12.0,
521,Mailing Lists,6/1/2021,3900.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,195.0,Mailing Lists,20.0,
522,Bulk Email Alias Deletions,3/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
523,RingCentral User Deployment,6/1/2021,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
524,ServiceNow Lookup module,8/1/2020,54.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
525,RHEL 8 Deployment,9/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
526,ALGE,7/1/2021,30.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,1.0,ALGE,30.0,
527,IT Manager Check,10/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
528,LDAP-Rover Syncs,8/1/2020,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
529,NHO Prep Tasks,2/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
530,Google Team Drive,12/1/2021,390.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,26.0,Google Team Drive,15.0,0
531,Rehire Associate Check,6/1/2021,228.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,19.0,Rehire Associate Check,12.0,1440
532,RHEL 8 Deployment,9/1/2020,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
533,NHO Prep Tasks,6/1/2021,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
534,DBA - Redshift Account Deployment,7/1/2021,697.5,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,93.0,DBA - Redshift Account Deployment,7.5,0
535,IT Manager Check,1/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
536,LDAP POSIX Group,6/1/2021,4152.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,346.0,LDAP POSIX Group,12.0,
537,RHEL 8 Deployment,10/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
538,LDAP-Rover Syncs,12/1/2020,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
539,Mailing Lists,6/1/2020,3420.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,171.0,Mailing Lists,20.0,
540,LDAP lookup module,6/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
541,Windows AD Account Mgmt,1/1/2021,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
542,Humanity Schedule Bot,8/1/2020,20.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,8.0,Humanity Schedule Bot,2.5,1440
543,LDAP lookup module,2/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
544,NGDC Service Catalog Item,7/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
545,Rehire Associate Check,4/1/2020,120.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,10.0,Rehire Associate Check,12.0,1440
546,global_wifi,7/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
547,Support Chat Notification Bot,2/1/2020,120.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,241.0,Support Chat Notification Bot,0.5,0
548,ggroupMembership,8/1/2021,64.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
549,MPaaS+ Migration Support,6/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
550,sn_tableau_ldap,11/1/2020,4452.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,636.0,sn_tableau_ldap,7.0,0
551,Autolist KB Daily Update,11/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
552,RingCentral User Deployment,8/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
553,Mail Alias,10/1/2020,888.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,111.0,Mail Alias,8.0,
554,Google Alias,5/1/2020,0.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
555,RingCentral User Termination,7/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
556,global_wifi,2/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
557,Tableau API Token Refresher,10/1/2021,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
558,Google Calendar Creation,3/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
559,Autolist KB Daily Update,7/1/2020,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
560,Tableau API Token Refresher,5/1/2020,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
561,RingCentral User Termination,3/1/2021,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
562,MPaaS+ Migration Support,5/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
